DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,ToxCast Active,ToxCast Total,% ToxCast Active,HIT CALL,TOP,SCALED TOP,AC50,LOGAC50
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8059920,Perfluoroheptanesulfonic acid,375-92-8,C7HF15O3S,449.940688,42,464,9.0,Inactive,0.013549850059764152,0.17112448636656186,14.999999999999998,1.1760912590556811
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8059926,Perfluoropentanedioic acid,376-73-8,C5H2F6O4,239.985728,5,460,1.0,Inactive,-0.005935591258960248,-0.07496208452428485,0.457654921997142,-0.33946186251702387
https://comptox.epa.gov/dashboard/chemical/details/DTXSID80881157,"1-(Perfluorofluorooctyl)propane-2,3-diol",94159-84-9,C11H7F17O2,494.017458,9,460,2.0,Inactive,-0.025007654851175655,-0.3158280034660531,0.0060000002464079185,-2.221848731780757
https://comptox.epa.gov/dashboard/chemical/details/DTXSID90174941,"3H,3H-Perfluoro-2,4-hexanedione",20825-07-4,C6H2F8O2,257.992705,16,470,3.0,Inactive,0.013923902357567401,0.17584848752181356,0.20000000129146972,-0.6989700015316279
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8062101,2-(Perfluorooctyl)ethyl methacrylate,1996-88-9,C14H9F17O2,532.033108,5,298,2.0,Inactive,0.004279537700467475,0.054047364926455926,0.02000000001298183,-1.698970004054122
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8059928,Perfluorobutanedioic acid,377-38-8,C4H2F4O4,189.988921,9,496,2.0,Inactive,-0.021324194175955154,-0.2693086461803011,1.8160353325934027,0.2591242938552602
https://comptox.epa.gov/dashboard/chemical/details/DTXSID90190949,"1,6-Diiodoperfluorohexane",375-80-4,C6F12I2,553.789780,170,461,37.0,Active,-1.4092244805575649,-17.797452691133003,8.535576675310274,0.9312328679750221
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8059970,Perfluoropropanoic acid,422-64-0,C3HF5O2,163.989670,6,460,1.0,Inactive,-0.02371749760889508,-0.2995342810673858,5.952753951004547,0.7747179319504797
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9020241,Capsaicin,404-86-4,C18H27NO3,305.199094,64,472,14.0,Inactive,0.00668443561921803,0.08441942950983078,0.20000001560212993,-0.6989699704564254
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9021342,Bithionol,97-18-7,C12H6Cl4O2S,353.884261,263,641,41.0,Active,-1.1068381060709718,-13.978538622709301,3.020737470148162,0.48011298273096603
