index;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;LogP_scaled;TPSA_scaled;NumRotatableBonds_scaled;Peso_Molecular_scaled;Dobles_Enlaces_scaled
0;1.0;-2.6337404786585637e-17;7.22386334201623e-17;2.5537086697005837e-17;6.564015125220463e-17;5.0104963720866476e-17;-6.615299492202749e-17;3.295670887466624e-17;-1.0512801680911168e-17;-6.148410483134494e-17;1.2350194425050111e-16;-7.30804927890015e-18;1.8905001467696447e-16;-1.42493120417986e-17;-5.5187523881347546e-17;-7.735725109856557e-18;-4.317830768282026e-17;1.287922625981667e-16;-6.6668166532028894e-18;-4.244131912745455e-18;5.30299756222123e-17;-1.294629790294736e-16;-2.164019675892911e-18;-3.761346235753001e-17;4.196582510441794e-17;3.923350944322389e-17;-4.57612195240844e-17;-2.0202989588697108e-17;-2.52916906330486e-17;-5.966490028183268e-19;2.4568386935408455e-17;9.431728274028223e-17;-1.77171688346177e-17;1.2950890402464736e-17;-3.9764643211064454e-17;-2.1220719747258296e-17;9.678466851626271e-18;9.585403033669698e-19;1.2174057463772041e-17;-1.102579771498092e-17;7.794301230052944e-17;-2.638782473739945e-17;2.2568553876022447e-17;-1.0959625229442894e-16;1.3117570834415562e-17;4.136961995111885e-17;-7.810186358557404e-17;1.7121766009387887e-17;4.334962213537537e-17;-1.134007948359921e-17;-9.675208123214527e-18;-9.99330532066786e-18;-2.8350073214243643e-17;4.855441005992186e-17;7.146794634540408e-18;1.459576951502784e-17;1.3380310778422572e-19;-5.631080513844299e-18;-3.286167441139462e-17;1.0184602058260568e-17;1.6541162637275947e-19;-2.414122707203697e-17;2.8593898801305486e-17;5.969033099700489e-17;-6.704318602357714e-19;-2.1231015292322683e-17;5.976122275256722e-17;-1.402868710215457e-17;-2.269904017629063e-19;-4.951952943872013e-18;-1.0100094922934529e-16;-1.3598896760975002e-17;-4.0400338696292804e-17;8.936780109416145e-18;-1.2559761848973324e-17;-7.336820977957301e-17;9.0556634497645e-18;-4.732474962952425e-17;-1.1901705472760198e-17;4.355606159467777e-17;9.69139563236116e-19;2.6026854434455377e-17;7.99112477413427e-17;-8.275739734850544e-18;3.874495055322285e-17;-6.244530697627085e-17;4.0176748387130134e-17;3.092895522549703e-17;-1.9804081760236516e-17;-5.959129035349165e-17;3.6593828192337717e-17;-4.055425696589407e-17;-9.56625960212707e-19;2.6304560016883428e-17;1.3118937587036604e-17;2.6461309906832896e-17;-9.518476426621187e-18;2.3563900217781723e-18;1.0754627732443493e-17;-2.768832563983953e-17;0.36573378099082804;0.6320029012003044;0.43255634665918613;0.9122372629042146;0.4461935600047952
1;-2.6337404786585637e-17;1.0;4.560563566739699e-16;1.20725613928956e-16;-6.142911839790171e-17;1.8794894775457338e-18;-1.75687413303805e-16;2.823019455778494e-17;-1.6497891890797905e-17;-6.476793555703669e-18;5.582730531776735e-17;2.4354565976949407e-17;5.648574444927751e-17;1.8709849708997892e-17;-3.633251130834402e-17;-2.242756380116928e-17;-2.8228798134582286e-17;5.51075832866884e-17;-2.051674001493595e-17;-3.233058322791184e-17;-4.481383342044033e-17;4.378622303406476e-17;3.345094041112824e-17;7.520607165106354e-17;3.728929774613696e-17;-1.4470114507882734e-17;-6.142177798100596e-17;-1.0238022566516765e-17;-3.9003024982355696e-18;-5.524946732968295e-18;1.2669774021102885e-17;3.669446464077023e-17;4.053354239852702e-17;5.6981770552877e-17;-1.5559231016063391e-18;1.6368548523429057e-17;2.3175874495237944e-17;7.339323938425015e-18;7.276728651117985e-18;-8.248938230777964e-18;-1.3916921138927327e-17;7.499342306715295e-18;-2.34597594300133e-17;-1.2690420627918231e-17;-2.8224549955085297e-18;1.0110657621694e-17;3.804478494090086e-17;-4.9823243226937406e-18;1.1366619563847462e-17;-1.2781214274640957e-17;-2.283110123431943e-17;-2.0989448804510936e-17;2.3817264280710856e-18;3.2851306922654673e-17;7.242168775048876e-17;-1.6723232068866494e-17;2.0408635701012514e-17;1.0778384282306384e-17;-2.8734806077396123e-18;-9.624077789007109e-19;3.579647642594221e-17;-7.538240586602948e-18;8.615941748044215e-17;4.497548929065122e-17;-8.697281588328187e-18;-7.434775522278322e-17;-1.4932546969780994e-17;2.019779051403908e-17;-1.8684198294921537e-17;-3.7032620886808e-17;6.589078291953632e-18;-1.1507561859355085e-18;5.518264565630537e-18;8.40827817293458e-18;-3.3328086026610255e-17;-3.3773315255109006e-17;3.3972919449273915e-17;-8.637260268900548e-17;-1.494116290024165e-17;-4.177330005299677e-17;-3.240280326266614e-17;5.236723950050148e-17;4.5306696813897645e-17;-7.011953390107813e-17;5.940310553892807e-17;-4.1740558386645767e-17;-6.722633872846839e-17;5.218014434605182e-19;5.902355440481736e-17;-1.0105697531732515e-16;6.714037431028968e-17;3.722052894063491e-17;3.051666728840964e-17;-3.758438744009995e-17;2.2932928964799136e-17;-7.016743373048985e-19;-6.071446193898839e-17;-5.3945823638816995e-17;-5.903138967250095e-17;2.8375039681149594e-17;-0.011394911834587714;0.008892319474234571;0.11885178889104402;0.2071419028750302;0.04619459266373322
2;7.22386334201623e-17;4.560563566739699e-16;1.0;-7.634343921652805e-17;1.0795551849985607e-16;-8.688765493713105e-17;2.5691630407955667e-16;3.2632759090598124e-17;8.626503129783398e-17;4.263681748185079e-17;-1.2594298549140706e-16;-1.0563993250179525e-16;3.095101474056973e-17;1.079789360563368e-17;2.8886633034737434e-17;6.535602529552411e-17;-9.434799024913282e-17;-1.4934289599920793e-16;3.3981075049381536e-18;4.020166439234936e-17;2.618969137420531e-17;2.339770487818824e-17;2.318317874530172e-17;-1.888314560791693e-17;1.0238122729441002e-16;-8.49257669038719e-18;-4.3299510643585105e-17;-5.377459148442712e-17;5.020157505512014e-17;-5.609203914630087e-17;2.819933443715088e-17;1.0678536942222314e-17;3.830242277601296e-18;-7.16622430507314e-18;-2.0548253409098656e-17;7.193501651152796e-19;-3.2424806939998073e-17;-3.961863572239307e-17;5.1882692086193164e-17;3.213954479573034e-17;9.318280521983211e-17;-1.2012506310225075e-16;-8.81690847697637e-17;5.033959820433111e-17;4.067867934830334e-17;-4.184195711520858e-18;6.241568042966188e-17;9.419159841680794e-18;-3.5414358907083083e-17;-8.130743598939096e-17;-1.0111058258719e-16;3.375032117396809e-17;-1.9797193123876218e-17;3.789479026085972e-18;1.3581691617326074e-17;5.1019793900352077e-17;-3.1746991405104756e-17;5.756759676461619e-17;-8.649625530768728e-17;-1.6451198852068926e-17;7.08958117382955e-18;1.6350750843419145e-17;1.885897859572963e-17;-7.515286431827236e-17;-2.0738817552712255e-17;9.04042205082119e-17;-1.5732133070847578e-19;-6.543791163198986e-17;-2.656974676234857e-17;2.10948694681712e-17;1.3137360241582298e-17;-4.6893058959424303e-17;2.182302671447022e-17;-1.719909725438911e-17;1.4108413210898024e-17;-2.360821480387712e-17;4.650926094021793e-17;4.099610236252741e-17;-2.921602156015993e-17;5.380055538963883e-17;4.9160258791793435e-17;-3.4898259007189655e-17;-1.555732877771926e-17;-9.075651842603416e-18;5.949585256183204e-17;4.968602469151817e-17;3.8511974531854444e-18;2.019226638959091e-17;-5.414752064506426e-17;3.954603506697096e-17;-1.5134108794896082e-17;4.75205757026674e-17;1.1896666715168517e-17;4.160431005998308e-17;1.7592613086261316e-17;3.5457195580913677e-17;-1.4645229834442986e-17;-3.3394573255356844e-17;3.782845878622147e-17;3.7961814307801455e-17;0.03512747059157938;0.05786117532170012;0.4531058933568905;0.04441933569805933;0.17280811798708795
3;2.5537086697005837e-17;1.20725613928956e-16;-7.634343921652805e-17;1.0;5.051921670657345e-17;-1.8701374143468363e-16;-8.695551532364067e-17;9.958988596740576e-17;6.445283993142406e-17;-1.4508483263296857e-16;-4.208667343029465e-17;-1.8549321386580113e-17;1.324073482053553e-16;2.2480654444206542e-17;2.4984877272283255e-17;-3.954395567245221e-18;2.6005631022358295e-17;1.549188251247115e-16;6.52238916257715e-17;-9.323720048526172e-18;-1.1361786326178805e-17;-5.913503935922578e-17;-5.154212985544128e-18;9.755063325742362e-18;-3.636731407981901e-17;-1.5958759378155568e-19;9.57276722482233e-17;5.968159447903262e-17;6.882845982940246e-17;-3.5588799639737107e-17;-2.99486846293573e-18;-6.001828660585032e-17;-1.9736078436373286e-17;-1.4598965463097566e-17;3.9385352246711834e-17;-2.8242631772289353e-17;-7.368161389608468e-17;3.57102792122119e-17;-9.08908157378364e-17;-4.775897422319133e-17;-6.074438548168352e-17;-1.9889719736857908e-17;3.7670851055017045e-17;-1.7054100911864617e-17;6.178945492142276e-17;-5.435264957790372e-17;2.862037884996751e-17;-7.728456143337374e-17;-2.4629920386096175e-17;-5.3138927864616886e-17;4.4958023328140126e-17;7.384850318755819e-18;-1.0108062884628216e-17;-1.2676734724664705e-17;4.656761096214177e-17;-4.0383322403093154e-17;-2.483322730802683e-17;-4.5961065354113113e-17;-3.558821576667625e-18;5.0460787633378696e-17;-2.663938637857789e-17;-4.533807166733928e-18;-4.6834489315245734e-17;-5.3264831067416616e-17;-2.694487135905654e-17;-3.2617321713438595e-17;-3.971137153473849e-17;-6.396683657816992e-17;-9.825523820665087e-18;1.5052667217818088e-17;-7.934545883170442e-18;1.3401683939263387e-17;-4.781687113478101e-17;2.6063696878121087e-17;-2.754272599321019e-18;1.4502261103994352e-17;1.031186639999964e-16;1.7981074417009686e-17;-6.36933111782801e-17;-1.0111474659867258e-16;1.9577094037290722e-17;5.716104519487334e-17;-6.770114990338998e-17;-7.695630906485547e-17;3.4138385988784315e-17;-4.4358864125673296e-17;-1.676396559635061e-17;3.547777108829867e-17;4.0434818256079346e-17;2.337985614306503e-17;3.853709920933578e-19;-4.05763071603121e-17;7.981223920571581e-17;3.231911064811351e-18;4.728038243747965e-18;-3.792811784510441e-17;-8.591047252100983e-17;-2.1374959424694197e-17;-1.3793175692103993e-17;2.4348599311765576e-17;0.19790775080723572;-0.3641459759169255;-0.27275302165583337;-0.0895863714913242;-0.15568547219430676
4;6.564015125220463e-17;-6.142911839790171e-17;1.0795551849985607e-16;5.051921670657345e-17;1.0;-3.768872403702224e-16;-1.8239874381831582e-16;7.292311095439934e-17;-6.77756043902885e-17;5.856686262510974e-16;3.8741615295625195e-16;2.2881362022963317e-16;-1.5037903878967038e-16;-1.5974817068565321e-16;-4.747123482603607e-17;1.3067066076452513e-16;4.061076267469687e-17;2.809049004770901e-16;-2.5471413604091495e-18;-1.574028079981379e-17;1.6244207033774602e-16;-3.2097721806586156e-16;1.2421924912963166e-16;3.0410715029149845e-16;-8.907309958242582e-18;-5.558850059166435e-17;3.4082612106008593e-17;-1.5706817012324666e-16;-7.439478123678882e-17;2.1130962912142457e-17;-8.048978647299031e-17;4.99424912615266e-18;6.524621138881989e-17;3.0556200853489134e-17;3.599762207300258e-17;-1.4651303862695542e-17;-1.9652509182298566e-17;-4.3935311574868364e-17;3.5696907286609386e-17;-5.473380907951329e-17;1.1571847823626655e-16;-5.353522906045678e-17;3.044936124761486e-17;-2.912905823181475e-17;-1.3647061732411504e-16;-7.7562416103396e-17;3.793404661893905e-17;3.6620048389096673e-17;4.5652490997704146e-17;7.553426874207874e-17;-4.5144271824227063e-17;-4.960097193412678e-17;1.1095275097639414e-17;-3.26145198808734e-17;7.443450618322955e-17;-7.384939406612284e-17;-2.254145591627535e-17;-6.012697925692359e-17;8.375995372852078e-17;3.144455908666008e-17;2.0234411098374126e-17;1.0863194976559342e-17;1.7922120523901436e-17;1.1374991279254967e-16;-1.2498698973371369e-17;5.668903319724104e-17;-2.9153684434552545e-17;-5.906906227231357e-17;-7.23676197375803e-17;2.8828675972101e-17;-6.986249730258532e-17;2.2920003855843163e-17;-6.878006156839849e-17;-2.5756518608078718e-17;-7.255525555216549e-17;-5.268670867906021e-17;-3.367529060892033e-17;-8.169488962282865e-17;-4.0581358898341626e-17;7.796856830321738e-17;3.761384552155e-17;-9.044343380963625e-17;2.4235329738602576e-17;3.24992478880673e-18;-5.322935820834252e-17;6.717975475208188e-17;9.326103179887095e-17;7.135974281380083e-17;-5.027818453327735e-17;-7.228514785330239e-18;1.9593266268535056e-17;1.3723824658707083e-16;-3.722121328802244e-17;-2.611001298499516e-18;-4.498640589530024e-17;-5.3077827035895825e-17;-6.580976154800727e-17;8.107433772282558e-17;-6.308514118950544e-17;1.3129490027548178e-17;-0.5670364678938598;0.4159002370781574;-0.13557340169768464;0.09195915877327004;0.23517343918531536
5;5.0104963720866476e-17;1.8794894775457338e-18;-8.688765493713105e-17;-1.8701374143468363e-16;-3.768872403702224e-16;1.0;-3.4256307435719386e-16;9.657289700474041e-17;3.9026492386811497e-16;9.858731594218297e-17;4.2794474290191047e-16;3.699783021873032e-16;-7.447433983972759e-17;-4.140255198094922e-17;-1.397928681173743e-16;-9.566502526175947e-17;-1.4404731317940543e-16;1.2315446311415716e-16;1.240032046345815e-16;7.666430065657267e-17;-3.9463364598183266e-17;2.4745554270125076e-17;-7.854986644979702e-19;-4.5911888800229845e-18;1.6934952716034588e-17;4.3514290198994664e-17;-7.861919771225134e-17;-1.0850510307962096e-16;1.1323561270157654e-16;5.796833331363007e-17;1.6210110958897385e-17;-2.163042793187364e-17;6.183212870497389e-17;4.433202123881291e-17;4.9297583190576274e-17;5.87989941446636e-17;1.2465156988637989e-17;-5.681414794090832e-17;1.0656275727174957e-17;-8.926382934189407e-17;1.1141750955994092e-16;-2.1717247346257962e-17;7.567723219002653e-17;3.529166498434731e-17;-3.227460660501291e-17;-7.688535953623448e-17;-1.4805321647852004e-18;-1.522658436068389e-17;6.006557018087209e-17;4.336566294927264e-17;2.6742011061762574e-17;-2.4019263324196987e-17;5.141174846813938e-18;-6.705464274541379e-17;1.0322470084662274e-16;8.441731447681387e-19;3.567609837318327e-17;-6.4834699544217765e-18;6.546845436212964e-17;-3.265056326378323e-17;-7.853430286368056e-18;6.213674156705905e-17;-9.274526926987819e-18;1.7172957056272108e-17;-1.4804138186349887e-17;3.7446327839277106e-17;-6.58493942346749e-17;1.115468176255036e-16;-3.614498796278213e-17;4.3471679533752426e-18;-4.274748412591614e-18;4.517802412373884e-17;1.539606982772193e-17;6.856506375322336e-18;-7.71387765974003e-17;1.5414947738885993e-17;-3.711712657112696e-17;1.5131029270175604e-17;-1.0554594606127968e-16;-8.208316037189176e-17;-1.3363479480041748e-17;-8.660623425838194e-17;1.3918975993341569e-18;-4.931777651855149e-17;4.594666518679863e-17;2.2353712566680788e-17;-1.5518521487408435e-16;9.43851113789625e-17;3.777839507947785e-17;-2.4155687649462173e-17;2.0531613535980733e-17;2.716037802817755e-17;1.282044576302267e-17;5.399533048288377e-17;-2.3399560237964934e-17;-5.3421352503091685e-17;3.149780649983782e-17;7.575530439336727e-18;-1.272705200875911e-17;-2.221125034939975e-17;0.2614624044974947;-0.1092867473879243;0.00015031188021566376;0.23251064851784364;-0.1521927267555939
6;-6.615299492202749e-17;-1.75687413303805e-16;2.5691630407955667e-16;-8.695551532364067e-17;-1.8239874381831582e-16;-3.4256307435719386e-16;1.0;5.181641391438678e-17;-1.473026821105049e-16;-3.65307479791147e-16;2.125849337565466e-16;-1.3893792423678166e-16;9.140633319671046e-17;-2.549252268133552e-17;-1.264702910551042e-16;5.732759654812492e-17;-1.0235906497000829e-16;1.5476848579290892e-16;1.8356633054034495e-17;7.803620592263519e-17;1.5410554691320507e-16;1.727214380817527e-17;-1.7025819709766551e-16;1.441936516532387e-17;1.1061112353885835e-16;4.640309175978429e-17;-1.0444121784684728e-17;-6.556187960053733e-18;3.3889244926647794e-17;4.032836674114208e-17;6.022201216182953e-17;-3.5973477967964564e-17;2.0646393087887687e-17;-3.515064117807976e-17;3.79374517699767e-17;4.208731948319973e-17;-5.0293726836406404e-17;-2.5804767991441735e-17;9.246297853272193e-18;-7.618483122596345e-17;1.1794061116344533e-16;3.2438897677989174e-17;-7.020363452877946e-18;3.9013053971466656e-17;-3.3405561037251284e-17;-6.391686969666493e-18;3.055664942589242e-17;1.0851652396684177e-17;5.036803354890703e-17;-4.464069958596572e-17;6.78611698050911e-17;-6.3295033207167476e-18;6.363886858377229e-17;-2.904087564399869e-17;1.439639791911704e-18;-9.96514257872315e-19;5.967214296183888e-17;-7.779758202065703e-17;-5.716616865671548e-17;-4.6713752444209975e-18;3.197597381757814e-17;-1.596121991035072e-17;1.838290436321535e-17;7.838066674456992e-17;2.46069433420106e-17;2.660086576278292e-17;-1.2023277001715485e-17;1.0127108730413385e-16;-9.694668975044941e-17;-7.424468432671427e-18;-4.2287637929671525e-17;8.764212175584272e-18;5.3195437690494885e-17;-1.9748981150483997e-17;-3.1016550519130357e-17;-8.707532948135952e-17;-1.0275961439538298e-17;-1.2238506432050457e-18;2.525994479722071e-17;3.7404162535810186e-18;3.1308324859882036e-17;-9.31239282501227e-18;-2.906251599755746e-17;-8.014577704932786e-17;1.2410178635918122e-17;-1.8705678017630556e-17;4.5887052310914625e-17;2.2964184933402095e-18;-3.74865821786724e-17;4.1043141841518845e-18;5.284780314028122e-18;-1.9813238609100214e-17;-1.927382413431848e-17;-1.4995627854098175e-17;-2.1721565878839604e-17;-2.7072775049695114e-17;2.77014024507016e-17;2.2071704695319206e-17;5.604746675840415e-18;-5.616500479152313e-17;-0.18002509268232902;0.18743775460186876;-0.29147234734609906;-0.1717453269580503;-0.13543227275669684
7;3.295670887466624e-17;2.823019455778494e-17;3.2632759090598124e-17;9.958988596740576e-17;7.292311095439934e-17;9.657289700474041e-17;5.181641391438678e-17;1.0;8.233127317553543e-18;3.735512052489618e-16;2.469377331818917e-16;8.873387907533122e-17;1.0283289582656722e-16;-1.4662791780503904e-16;2.910654663915536e-16;7.541300787793873e-17;2.4862562124578294e-17;-1.2436459415524413e-16;-6.512611626024004e-17;-1.84194065124317e-16;1.192929533703627e-16;-2.104480351967846e-17;4.2965883810552637e-17;-4.4891360266459263e-17;-3.5642146104608775e-17;-1.6901903010668454e-17;4.037964957081362e-17;1.8312892374269145e-16;2.1266409582548137e-16;6.226954213769473e-17;2.7523742863273936e-16;-3.3160153988587224e-17;5.066784517437878e-18;-7.867612147597401e-17;1.4131226976153712e-16;5.713722605888262e-17;-6.246572400348225e-17;8.872197391057062e-17;6.489902584320065e-17;-8.567401464016551e-17;-7.334659441384585e-17;5.0354273358964055e-17;2.71818249697316e-17;-2.4283008241151973e-17;9.752088952880659e-18;2.3228713966e-18;-3.641267401924645e-17;3.291964910881682e-17;-6.246844829005411e-17;5.7115231740624595e-18;9.249324748017482e-17;-1.0397789922591906e-16;-8.46669386657938e-17;-1.799231400468935e-17;1.5734523155079678e-16;-3.667544024649455e-17;-4.472827955935825e-17;-6.624569755733727e-17;8.899577832269557e-17;4.6731351679339175e-17;1.4732037676237332e-16;1.833622695233659e-16;-1.9272100366479454e-17;1.494578713170906e-16;-4.998050064762031e-17;5.096706854855518e-17;1.8842157211438697e-17;5.766383569537884e-17;-6.974962205971338e-17;-5.554681898911082e-17;1.1187024062153156e-16;-1.2987104714507063e-16;2.252265798185149e-16;2.827194634858123e-17;6.237313940597757e-17;2.607507919137348e-17;1.8331590138490865e-17;8.085905291269017e-17;-1.33349398980876e-18;-8.242309758765647e-17;-6.206058121224308e-17;7.490751436327051e-17;-5.951857529806611e-17;1.3480179172440927e-17;-2.2780897879441497e-17;-2.321624213433863e-17;-4.1916839616551533e-17;9.86532592576298e-17;-3.95056773238431e-17;3.8231204188190185e-18;-6.699588075982682e-17;3.2664480324375344e-17;-4.13780824486236e-17;3.3025960367684117e-18;1.858361907699227e-17;-2.6192716555820457e-17;2.5727674988205556e-17;-1.087039560502061e-17;-2.06964640006615e-17;-7.814518813676622e-17;0.05246036774761472;-0.18674856719087074;0.035274427639725346;0.027834802217877447;-0.36262599953695296
8;-1.0512801680911168e-17;-1.6497891890797905e-17;8.626503129783398e-17;6.445283993142406e-17;-6.77756043902885e-17;3.9026492386811497e-16;-1.473026821105049e-16;8.233127317553543e-18;1.0;-9.200057685960484e-16;-3.709522162638973e-16;3.230271945870507e-16;2.3411448640133298e-17;-6.375329806347039e-16;-3.2854273511499715e-16;-2.371323030873635e-16;-2.673069651705188e-16;-4.524669503827904e-17;6.75566273297006e-17;1.345859766372518e-16;1.3190656721628315e-16;3.162377068599964e-17;1.5262787181189457e-16;2.5686106631598984e-16;9.566954766301111e-17;1.3038557400767172e-16;1.235881561199892e-16;1.207346291656861e-16;3.733220181133065e-17;-1.620432412609314e-16;1.4321035602267268e-18;-6.831084187746093e-17;2.231685746322866e-17;-1.1323708167473682e-17;1.3000772786723232e-17;9.343121691839843e-17;-1.0769568492832695e-16;-6.030713539318114e-17;-5.316546995797554e-17;1.1451523643421737e-16;8.96019030344953e-17;-2.0566579373969994e-17;9.454206214747256e-17;1.5618837589077186e-17;-9.999004600411095e-18;4.346574713859467e-17;2.442451505821563e-18;-1.1600278610633974e-17;-4.297032226139419e-17;3.585050468956734e-17;9.346816172008593e-17;-1.2305193544516703e-17;-1.997690692407423e-17;-1.4080724142596297e-17;7.476889053219392e-17;-8.862444831744144e-18;-1.195793331987055e-16;-7.676304898277161e-17;7.148552373631715e-17;-4.1939598315176956e-17;3.5810114715115833e-17;1.0363224137470778e-16;-6.494310966416306e-17;1.5596660550052393e-16;-4.152743849641305e-17;4.857024681497424e-17;-1.3873538589753554e-17;1.3953486117546394e-17;-9.844149717167107e-17;-1.9717139253161302e-17;7.11901197821894e-17;-1.1497108827200137e-16;-4.8341331924341346e-17;5.891463243588967e-17;9.869194592466329e-17;-1.134512190434129e-16;-6.600706017753215e-17;1.4735597957307777e-17;1.0782341147716547e-16;3.3757646503420053e-17;-2.4830041923340284e-17;8.604905698539169e-17;5.83475588734712e-17;1.0122206871750202e-16;-6.179020990896565e-17;-1.681265785970725e-17;4.3793097660578254e-17;-3.631731383090574e-17;-6.755372379711424e-17;-3.1755748203361996e-17;4.681913466496451e-17;4.868166396827961e-17;7.99258280192766e-18;6.574148087596216e-17;7.869670872474497e-18;1.5553235127992917e-17;6.877055515919193e-17;-5.585224583285724e-20;6.134831605346801e-17;1.4781633538377235e-17;-0.1090125580380328;0.15290918791004374;0.07546429017172547;-0.011830023625551186;-0.06843700714784363
9;-6.148410483134494e-17;-6.476793555703669e-18;4.263681748185079e-17;-1.4508483263296857e-16;5.856686262510974e-16;9.858731594218297e-17;-3.65307479791147e-16;3.735512052489618e-16;-9.200057685960484e-16;1.0;-7.229983211113854e-18;7.400883241586895e-17;2.1004090700272895e-16;5.97337745381679e-17;3.0310175399270914e-16;-1.165820489793855e-16;3.479910033868025e-17;2.0011276596984525e-16;-5.94690061185213e-17;1.0403495419907906e-16;-7.752074244014632e-17;-1.012064871959861e-16;-3.282031757945581e-16;1.2044367134060227e-16;1.851592793400049e-16;6.338066208672886e-17;1.9720536433210603e-16;1.117222697729027e-16;6.548868839790868e-17;-1.438094786684798e-16;-1.2583137344861415e-16;3.617374429650987e-17;9.342959426164093e-17;-3.33981843264057e-17;1.6064513430112423e-16;1.6764377360815108e-16;6.934307991447924e-17;-3.5939161945798086e-17;-8.634931654581414e-17;1.426012969774771e-17;-7.498878582398386e-17;-1.2919419871607286e-17;-5.720656503767718e-17;-1.5825833992481548e-17;-5.3130629787759375e-17;-3.009125422452697e-17;1.8874334547865495e-17;-4.283388299136965e-18;-2.5327537284891202e-17;-1.468500005091278e-17;2.4451721376454767e-17;1.0687960476597011e-16;7.801728579811276e-17;1.1887453958663718e-17;6.092454669818405e-18;2.97810869293827e-17;8.206177722966369e-17;1.1623837808217635e-16;-4.354464116915044e-17;-9.635596459050138e-17;-7.022462913689707e-17;-1.8360107561331076e-17;-1.5706360219207663e-17;-5.586636899422751e-17;6.551397387792666e-18;6.478491240862956e-17;3.330908822423203e-17;-3.827188156300802e-18;-1.6505293020230136e-16;-1.2034257649152215e-16;-4.900751905763779e-18;1.0074081591070058e-16;1.9819726931392917e-16;-1.0260920403986855e-17;-4.4285253712757734e-17;-8.693278378991005e-18;2.197192594251122e-17;9.717748081891444e-17;-5.387968031186883e-17;-3.341623780170019e-17;-7.642827895794185e-18;3.957641387701124e-17;3.385022450084973e-17;4.834432836127092e-17;6.255534114055721e-18;8.242730000321844e-17;2.7057796500794263e-17;-3.924302828008695e-17;3.360100668113965e-17;-5.0519254091481786e-17;2.9993074170472535e-17;4.4613453065558035e-18;-4.4571544430746066e-17;-1.5255955683548004e-17;-4.508334675718381e-17;-2.0151154626763192e-17;1.2949404899586706e-16;-6.842489921232119e-18;-6.410653978893599e-17;-2.2243259726999622e-17;0.053046240551591496;0.02774224426528193;0.12563536178316828;0.07020963476822802;0.15538999597236042
