DTXSID;Clasificacion_ATS;Masa_Molecular;Numero_Atomos_Pesados;H_Bond_Acceptors;H_Bond_Donors;Enlaces_Dobles;Enlaces_Triples;Carboxilo;Hidroxilo;LogP;SMILES
DTXSID8044381;Activo;358.09535692799994;27.0;4.0;0.0;6.0;0.0;0.0;0.0;2.1361999999999997;O=C1C=CC(=O)N1C1=CC=C(CC2=CC=C(C=C2)N2C(=O)C=CC2=O)C=C1
DTXSID8044383;Activo;186.05032132;13.0;1.0;0.0;0.0;0.0;0.0;0.0;3.8378000000000023;S(C1=CC=CC=C1)C1=CC=CC=C1
DTXSID8044464;Activo;240.042258736;18.0;4.0;2.0;2.0;0.0;0.0;0.0;1.8731999999999998;OC1=CC=C(O)C2=C1C(=O)C1=C(C=CC=C1)C2=O
DTXSID8044547;Activo;182.167065324;13.0;1.0;0.0;1.0;0.0;0.0;0.0;3.7161000000000026;CCCCCCCC1CCCC1=O
DTXSID8044593;Inactivo;255.081477128;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17960000000000131;[Cl-].C(C1=CC=CC=C1)[N+]1=C2C=CC=CC2=CC=C1
DTXSID8044755;Inactivo;196.14632988;14.0;2.0;0.0;2.0;0.0;0.0;0.0;3.076100000000002;C=CCOC(=O)CCC1CCCCC1
DTXSID8044836;Activo;230.0579088;17.0;4.0;3.0;1.0;0.0;0.0;0.0;2.0344;OC1=CC=C(C=C1)C(=O)C1=CC=C(O)C=C1O
DTXSID8044961;Inactivo;486.34173519199993;34.0;8.0;2.0;2.0;0.0;0.0;0.0;2.6278000000000015;CC(C)C1OCCN1CCOC(=O)NCCCCCCNC(=O)OCCN1CCOC1C(C)C
DTXSID8044969;Activo;421.982375436;26.0;4.0;0.0;2.0;0.0;0.0;0.0;4.2767;COC(=O)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)=C(F)F
DTXSID8047262;Inactivo;483.244329664;34.0;6.0;3.0;2.0;0.0;0.0;0.0;6.203220000000006;CC(C)[C@]1(CCC2=CC=C(N)C=C2)CC(O)=C(SC2=CC(C)=C(CO)C=C2C(C)(C)C)C(=O)O1
DTXSID8047264;Inactivo;359.153286404;26.0;5.0;3.0;0.0;0.0;0.0;0.0;2.3093000000000004;O[C@@H]1[C@@H](COC2=CC(O)=CC=C12)N1CCC(O)(CC1)C1=CC=C(F)C=C1
DTXSID8047266;Inactivo;410.094785548;28.0;6.0;3.0;3.0;0.0;0.0;0.0;1.950899999999999;ONC(=O)C1(CCOCC1)NS(=O)(=O)C1=CC=C(OC2=CC=C(F)C=C2)C=C1
DTXSID8047268;Activo;355.071504588;24.0;7.0;1.0;1.0;0.0;0.0;0.0;-0.9043999999999992;[Na+].COC1=CC2=C(SC(C(=O)NC3=NN=N[N-]3)=C2OC(C)C)C=C1
DTXSID8047341;Inactivo;620.2684819440001;43.0;3.0;1.0;2.0;0.0;0.0;0.0;7.210100000000008;CN(C)C(=O)NC1(CCN(CCC[C@@]2(CCCN(C2)C(=O)C2=CC=CC=C2)C2=CC(Cl)=C(Cl)C=C2)CC1)C1=CC=CC=C1
DTXSID8047347;Activo;413.177312724;29.0;6.0;2.0;2.0;0.0;0.0;0.0;3.423000000000002;CCN(CC)CCNC1=C2C(=O)C3=C(SC2=C(CNC=O)C=C1)C=CC(OC)=C3
DTXSID8047349;Activo;461.15176218;32.0;6.0;1.0;0.0;0.0;0.0;0.0;4.0183000000000035;O.Cl.CN1CCN(CC2=CC(=CO2)C2=CC=C3N=C(O)OC3=C2)[C@H](C1)C1=CC=C(F)C=C1
DTXSID8047391;Inactivo;361.133888352;27.0;5.0;1.0;1.0;0.0;0.0;0.0;3.633140000000002;CC1=CN(NC(=O)C2=C(C)N=C(N=C2)C2=CC=CC=N2)C2=CC=C(F)C=C12
