index;count;mean;std;min;25%;50%;75%;max;median;IQR;group
LogP;574.0;3.7628339895470413;2.0513770203303823;-5.9945;2.8691250000000013;3.9217000000000035;4.986235000000002;11.542499999999986;3.9217000000000035;2.117110000000001;Activo
Peso_Molecular;574.0;342.4531561966551;149.80939773416776;100.052429496;240.661141837;323.586709575;404.862591136;1700.172974183999;323.586709575;164.201449299;Activo
NumHAcceptors;574.0;3.3954703832752613;2.930619547158227;0.0;2.0;3.0;5.0;46.0;3.0;3.0;Activo
NumHDonors;574.0;0.8501742160278746;1.5457620849755593;0.0;0.0;0.0;1.0;25.0;0.0;1.0;Activo
Dobles_Enlaces;574.0;1.5017421602787457;1.516343918542701;0.0;0.0;1.0;2.0;12.0;1.0;2.0;Activo
Triples_Enlaces;574.0;0.047038327526132406;0.2353192668306201;0.0;0.0;0.0;0.0;2.0;0.0;0.0;Activo
Numero_hidroxilos;574.0;0.5487804878048781;1.3653235725784951;0.0;0.0;0.0;1.0;25.0;0.0;1.0;Activo
Numero_carboxilos;574.0;0.3327526132404181;0.7396101171762453;0.0;0.0;0.0;0.0;10.0;0.0;0.0;Activo
TPSA;574.0;51.986358885017424;49.799823728986915;0.0;22.03;44.760000000000005;69.13499999999999;777.9800000000005;44.760000000000005;47.10499999999999;Activo
NumRotatableBonds;574.0;5.116724738675958;4.031546510262918;0.0;2.0;4.0;7.0;24.0;4.0;5.0;Activo
LogP;1127.0;2.430783939662823;2.2228679950033126;-13.054800000000023;1.2178500000000003;2.4708;3.6387700000000014;12.484639999999985;2.4708;2.420920000000001;Inactivo
Peso_Molecular;1127.0;262.2266780740213;133.1386554085812;42.021798063999995;159.075860438;232.0170183;336.980116904;1348.5831828799999;232.0170183;177.904256466;Inactivo
NumHAcceptors;1127.0;3.1481810115350486;2.4665171241786408;0.0;1.0;3.0;4.0;30.0;3.0;3.0;Inactivo
NumHDonors;1127.0;0.9201419698314108;1.22104575382539;0.0;0.0;1.0;1.0;18.0;1.0;1.0;Inactivo
Dobles_Enlaces;1127.0;1.3309671694764862;1.331257383767003;0.0;0.0;1.0;2.0;11.0;1.0;2.0;Inactivo
Triples_Enlaces;1127.0;0.03371783496007098;0.1901638124143739;0.0;0.0;0.0;0.0;2.0;0.0;0.0;Inactivo
Numero_hidroxilos;1127.0;0.5075421472937001;1.043326884223161;0.0;0.0;0.0;1.0;18.0;0.0;1.0;Inactivo
Numero_carboxilos;1127.0;0.39751552795031053;0.73234885956908;0.0;0.0;0.0;1.0;8.0;0.0;1.0;Inactivo
TPSA;1127.0;51.741677018633546;40.34523175686916;0.0;26.3;44.760000000000005;66.415;474.9000000000001;44.760000000000005;40.11500000000001;Inactivo
NumRotatableBonds;1127.0;4.150842945874002;4.04090504555757;0.0;1.0;3.0;6.0;24.0;3.0;5.0;Inactivo
