index;nAcid;nBase;nAtom;nSpiro;nBridgehead;nHetero;ATS7dv;ATSC1dv;ATSC2dv;ATSC3dv;ATSC4dv;ATSC5dv;ATSC6dv;ATSC7dv;ATSC8dv;ATSC1d;ATSC2d;ATSC3d;ATSC4d;ATSC5d;ATSC6d;ATSC7d;ATSC8d;ATSC1Z;ATSC2Z;ATSC3Z;ATSC4Z;ATSC5Z;ATSC6Z;ATSC7Z;ATSC8Z;AATSC0dv;AATSC0Z;BalabanJ;nBondsD;C2SP1;C1SP2;C3SP2;C1SP3;C3SP3;C4SP3;FCSP3;ECIndex;fragCpx;fMF;IC0;IC1;FilterItLogS;PEOE_VSA1;PEOE_VSA2;PEOE_VSA3;PEOE_VSA5;PEOE_VSA6;PEOE_VSA7;PEOE_VSA8;PEOE_VSA9;PEOE_VSA10;PEOE_VSA11;PEOE_VSA12;PEOE_VSA13;SMR_VSA2;SMR_VSA3;SMR_VSA4;SMR_VSA6;SMR_VSA9;SlogP_VSA1;SlogP_VSA2;SlogP_VSA3;SlogP_VSA4;SlogP_VSA7;SlogP_VSA8;EState_VSA1;EState_VSA2;EState_VSA3;EState_VSA4;EState_VSA5;EState_VSA6;EState_VSA7;EState_VSA8;EState_VSA9;VSA_EState2;VSA_EState3;VSA_EState4;VSA_EState7;VSA_EState8;VSA_EState9;nRot;SLogP;GGI10;JGI2;JGI3;JGI4;JGI5;JGI6;JGI7;JGI8;JGI9;JGI10
nAcid;1.0;0.2851276134275611;0.2064678944237476;0.012906595938075133;-0.01190352108242365;0.2843830041009958;0.16693367833351594;0.011639839381905789;0.1188339850552029;-0.04171497404626709;0.03510221289474814;0.12118714448210621;0.06156721598990853;0.04647794407563406;-0.016243970610040577;0.04392279690975879;-0.017669986917037965;0.04350279243287103;-0.017384685415188856;0.06659505064805261;0.030363853757366156;-0.03471498224597295;-0.049481840814606416;0.016291038355113176;0.0383068906354777;0.005413271801547892;0.05204019195126202;0.002346216396911414;-0.010269218334851036;0.015819286253085273;0.0022245000672896794;0.08528203147427577;0.09577619073347587;-0.3076147292040626;0.30494905611769474;-0.04379598218650567;0.22448518280117116;0.10799186236337516;0.009746214390322238;0.016153106697115893;-0.05959140017602639;-0.054107100628783836;0.02240246440756044;0.1299193937800139;-0.05087303577292225;0.1656671095904951;0.17719315604376873;-0.10551979993698549;0.37375191607861274;0.09017383546258598;0.1488132644477312;-0.03797934564242625;0.019417830203601823;0.08846376895961001;0.16566338267822772;0.12914141721521305;0.0836811475676073;0.03269297949716775;-0.011638710398400894;0.07169647237926645;-0.014147843257130864;0.07005430424709426;0.010046578359855384;0.06990041760424463;0.01674249592897109;0.45619637828619414;0.24439123353613665;0.29760219875487565;-0.028325692307279767;-0.03945031568951681;0.10230271918483119;0.17207082315737432;0.3961059159891912;0.11683860881109612;0.08739506561944838;0.09086814825870923;0.0403260354185691;0.0003534906806501462;0.09070434759614802;0.01123494068458774;0.187294307343357;0.15941680513699596;0.0549754746970839;-0.01842667641776409;-0.035627527390977624;-0.15015677787117715;0.21535828483553107;-0.2173102591703094;0.1579146021918757;-0.010888918681520232;-0.013922194743422206;0.009024491304939531;-0.019975916680559726;0.036338866837509996;0.016676543831645584;0.02688192643437036;0.02250933884192343;0.10894835632218142
nBase;0.2851276134275611;1.0;0.2733164346690983;0.06454029586913061;0.044511439243851286;0.1922205844529749;0.13250922962464526;0.10125786490855326;0.0660826992010385;-0.019225552004064714;0.049800043332840875;0.06871697390503928;0.03554544425667886;-0.01527837449979824;-0.04737503643429157;0.16450063387812003;0.033159803984625605;0.0024685765244071515;0.0015426559602188556;0.04362822781761382;0.012794776813573569;-0.04619162231308669;-0.07535291873404713;0.003600565500865746;-0.013249682049390348;-0.02922602190684364;0.08146623037428305;0.06164095521796378;0.03292109348533976;-0.011574934067906852;-0.0309618223926899;-0.01819223151046351;-0.02855753029469699;-0.3320838086063406;0.16863436826996925;-0.02309035605157999;0.06706958292020909;0.06690249341242081;0.1642887166004325;0.026851299522729764;-0.05381654842032726;0.03905271557012569;-0.11986648045461429;0.13696951413541908;0.04893506767641686;0.06304891778085417;0.1477828581693015;-0.1319649199860611;0.2202529004891759;0.1897476010174865;0.06943699340355161;0.0635104119428818;-0.004328692762577518;0.18798561843119493;0.22858236960058126;0.15634431082468014;0.06593343792806924;0.10338557203441963;0.03074329740707004;0.09951021974232703;0.3033201653652439;0.26041659330177286;0.08094009943324607;0.35136157876434654;-0.006529507261023373;0.4241521112598925;0.29948570994021495;0.07383331973603179;0.016207953889524996;-0.01281697995517521;0.036991137587346186;0.03844397958434716;0.3205638277710312;0.16509314166721004;0.22517921958073112;0.08984242152203098;0.09494761286581442;0.036800549083063426;0.11689695734737544;-0.0029865582357062955;0.06572654513447146;0.12006613221247506;0.10736605013969348;0.056147594781100665;0.08670233827493826;-0.02529249819178935;0.16716877514268813;-0.17605732651515454;0.18308350545228988;-0.1276579432592319;-0.07173873205202871;-0.050342320878971426;-0.006743310353825277;0.02791788933897158;0.03537110181613824;0.10712253473285327;0.06250792941222195;0.10064437470770049
nAtom;0.2064678944237476;0.2733164346690983;1.0;0.15355908027518306;0.12876966072628374;0.3920985621090515;0.5958809823831914;0.6664742549457605;0.33392990291629837;-0.01332362522814004;-0.044694911070315;0.055316962863025995;-0.07021350734326799;-0.17319168020284675;-0.12469910065211959;0.7518402973929879;0.04174528325464842;-0.10109033682615967;-0.18847475014118842;-0.1356562890298672;-0.21442628337898995;-0.2618210132408896;-0.18393673051506002;0.15342554136510878;0.16574684661433056;0.022446882714945667;-0.0036270593748875765;0.07039592047169584;0.00035553799599284094;-0.05784117518050674;-0.03658919863984102;-0.05243088942287781;-0.1824660497382142;-0.3325744385487517;0.43913475163411714;0.04132591577175438;0.41424106024823354;0.4809288195922994;0.6094986215968156;0.32332202890422984;0.20769338915145105;0.1152884339382753;-0.00952375937382171;0.6669634128120464;0.07371048481474288;-0.11559889077643687;0.3185284350073635;-0.5797630381704689;0.5547540228753302;0.3201398915389292;0.2663659924727632;-0.027696422002665918;0.3895683292915099;0.6582116288414676;0.5032919140118185;0.4015861685597233;0.4031349742454827;0.27713960423801287;0.324246366386266;0.18587329377679015;-0.018447060837935216;0.32416417367659334;0.28963965196456143;0.4757051238106043;0.29856020083268203;0.2456829688566314;0.6352241664161886;0.4822713421379061;0.28661254333847036;-0.08377740921612511;0.150702479889727;0.374009899640002;0.3787129322537512;0.5382567452783865;0.5417261318738108;0.36912270920135315;0.317222726132343;0.2720057907289963;0.2822694676074948;0.006891649501577842;0.5063339326645611;0.34021587658815033;0.15164926133814252;0.19535790139021977;0.4966638157496612;0.046797000421570444;0.6594758914440736;0.3909434466911838;0.7456247858917807;-0.12564072558384193;-0.07960110605917005;-0.04636829101447812;0.16109631847155415;0.2690692770931341;0.3484654427322307;0.40648881731665965;0.42430775124646;0.47806591992795694
nSpiro;0.012906595938075133;0.06454029586913061;0.15355908027518306;1.0;0.0381456283672212;0.031838165208769524;0.07031806509851593;0.1513718456997211;0.02915983767922996;-0.05868954328940883;-0.03123965815162313;-0.061504616363566876;-0.06363622382674856;-0.03143297021571384;0.0016741282194320938;0.22090111271131924;0.07538508692322675;-0.12272914672491338;-0.11785432186000651;-0.04666720711179024;-0.11360855801272485;-0.14388778526135879;-0.006655304274986783;0.0011862430476751937;0.010013726841448833;-0.06501947063752546;0.0615042920506658;-0.05261875149616827;-0.0023611343073746192;-0.1990158017243083;0.06351428577729679;-0.02706827746480204;0.03322906303199408;-0.08730098006847066;0.05007118587802031;-0.014844209811594134;0.029277545372628257;0.10014922070296002;0.08370538864333804;0.19005394728463113;0.11155401521657683;0.03478087370048573;-0.03969106985742931;0.18182902439599977;0.07276117929172997;-0.04296341218761016;0.04814526261048654;-0.1169312019468231;0.09333310879405318;0.014912190042556792;-0.012347655289834725;0.006707514844158258;0.026795127665603897;0.1917873089815244;0.12479580970222785;0.07261111813033883;0.09602393798840517;0.07406302116558812;0.02815782245818476;-0.03267728860488113;-0.02243036167257353;0.0245391383219107;0.1426004544742859;0.04763143433843085;0.07151069734285982;0.033138607894749775;0.09146837812053095;0.06803491560493825;0.1084879573217767;0.014796268312044463;-0.008684761259099266;-0.003189624171215759;0.1415233820752725;0.15544137023154023;0.138928256312621;0.029362137073124833;0.026423197210196276;0.04469199382854048;0.06509080663708071;0.04432540130827205;0.06645859499966977;0.0252814563546974;0.0055502615796646955;0.0823460623051939;0.10785534901512178;0.04703732240737268;-0.03307507515124268;0.08476454082606022;0.06457604197647476;0.029275317763297667;0.028668585254690584;0.049803807976903036;0.042256639558712075;0.07024685024695743;0.07691105837457214;0.07456541887448953;0.09740822348475907;0.04448599821909466
nBridgehead;-0.01190352108242365;0.044511439243851286;0.12876966072628374;0.0381456283672212;1.0;0.15877899382602287;0.15133765607522962;-0.006506793467634223;-0.08053505440295898;-0.0010020779971651702;-0.0051285178586087;0.06383261175656851;0.058696044330957556;-0.0075652606468807745;-0.01736549934866303;0.15419334322042466;-0.03237862029029921;-0.2782296303501049;-0.018968893096265392;0.04457951962051144;-0.00777292420564983;-0.12719095819847012;0.06913402261534973;-0.0005285337182854132;-0.03890637647252496;0.06287894203384242;0.026562485810441582;-0.021284506039531536;-0.029847842335754764;0.004466958770101692;-0.027989172556711652;-0.01980320497105125;-0.0032061980869671014;-0.05261880339022569;0.02799062109682107;-0.016088218434511;-0.006254795447840217;-0.031233586969667524;0.08091700296959152;0.3242618331538139;0.006591108989708693;0.13133937951577238;-0.011268501365327031;0.21872739332468008;0.07560196041791427;-0.03681066059542268;-0.00876858405038362;0.1022913195303681;0.2439025584014044;0.012413867004804404;-0.034398725533419806;0.23694016719914052;0.011570727302582613;-0.03472205660062605;0.014029239846314882;0.17108740793485394;0.37581010987324187;0.12634846538724318;-0.02893896512801931;-0.004116860374384282;-0.011011837127197839;0.0001059394512552042;0.1870356921978971;0.07518026127074917;-0.04123275336477192;-0.05607268144357901;0.3253210697522429;0.10248357474042205;0.11309814840673921;-0.03210453713883424;-0.0335576906274665;0.2821436605095622;0.018135985589503075;-0.004878303299741772;-0.0243522404432487;-0.005224915189923526;-0.03094198795593147;-0.06762854292347427;-0.0262192552653157;0.2816058386729689;-0.026231707049271073;0.272922941576569;-0.03809509037983171;-0.15039608029729917;-0.025121900553381933;0.008212428014574044;-0.06299138069569829;-0.1071560424917947;0.19199978220892489;0.072871727325781;0.1740132627423236;0.06227291374070943;0.05382704660426745;0.014709778150611487;-0.06355648019980786;-0.03660532504319666;-0.026996606922518793;0.012128057017033036
nHetero;0.2843830041009958;0.1922205844529749;0.3920985621090515;0.031838165208769524;0.15877899382602287;1.0;0.7838059107963536;0.2000221629978753;0.4373471900143927;0.2374330656215241;0.0818251911113261;0.134386435644799;0.005710150005701301;-0.1611278475326233;-0.20488450545008538;0.17602366647538106;-0.147110857736529;0.0109482146294989;-0.03426906262718441;-0.023781263344954794;-0.09842873602225352;-0.20488276358654026;-0.144303785814682;0.08220495627950222;0.14079891170697276;0.06545586869924935;0.026840358534609504;0.07455668698045531;-0.009820325629303867;-0.052010667274750476;-0.07329749511577344;0.5348920792883609;-0.006809682464427176;0.14569552903080038;0.39899968753646387;-0.0803526148181731;0.3620856728709232;0.036721987998773624;0.219405846673085;0.01548104426281069;-0.14561381333248535;0.12033793228716827;-0.045014955656869485;0.43135054364460673;-0.07929358003459187;0.545629364267492;0.37480464932817187;-0.21443155334983932;0.458419076060465;0.29893670801333677;0.4598594249602396;0.10300616958980725;-0.22042490100291556;0.04493744493366664;0.2357640269777049;0.37928534940837705;0.3085801983210205;0.38081778199701893;0.31875086287274706;0.2945221847795031;0.0466009000226879;0.2910018626556628;-0.020760196572244996;0.2744102927785673;0.22250207036532116;0.2958186709251668;0.7070656208921527;0.4124377143051203;0.016482366072846324;0.0962394575141455;0.012324292826616954;0.7984495198891909;0.3259144137679608;0.25799000236819974;0.03238697736954245;-0.05893985366000447;0.1323171409195031;-0.11451045118624124;-0.17433327172519764;0.25276731471924513;0.3928665388766392;0.35756806659988455;-0.18905537137266676;-0.5270991267961338;-0.16896183278642263;-0.19240370230731174;0.3817463367698472;0.029381446990848152;0.5628796109494213;0.40382144718709057;0.23919351658668384;0.15342333380698994;0.169318777773595;0.282862987549715;0.26278314960960797;0.29819400214296676;0.24239512289533818;0.2551235912654411
ATS7dv;0.16693367833351594;0.13250922962464526;0.5958809823831914;0.07031806509851593;0.15133765607522962;0.7838059107963536;1.0;0.35258864994796263;0.29843913784578946;0.1564977986837195;0.03610952825760182;0.18828867397665858;-0.023800890638352383;-0.12825721412389315;-0.1673868117630552;0.38037591814782823;-0.14688032765169987;0.019993796229668702;-0.04745993509610535;-0.04343860747098303;-0.18401583986305126;-0.27291970612235233;-0.21076905008352245;-0.023996792677773576;0.09700854932978072;0.06175478595232772;0.03544379214330919;0.1469733335181848;0.01801755914987194;-0.03747765206248512;-0.04572281351248854;0.27553860390724993;-0.09305462193166322;0.015126754698312586;0.3568957225070381;-0.00742324675524985;0.39929421669828136;0.31256168270625273;0.2768509855596568;0.10133496680559365;-0.010677067626845102;0.024946174346505617;-0.030417853294913776;0.6410374943213584;0.05983327698796783;0.15522195411258588;0.29677852541350414;-0.3314227863384491;0.5146400129964687;0.22936406947658905;0.3818513439879743;-0.028953011966144634;-0.020768568746368045;0.2664013341393612;0.255787383270157;0.33806674392648767;0.3712364559687754;0.4595492094912036;0.3070873778283507;0.19557186555037537;-0.0017394445717437623;0.2263126101893;0.08704609549702859;0.2146236405577233;0.4099791921539977;0.2672399420022015;0.6559045007152056;0.35265144418132993;0.08195923297534381;-0.0425223021464045;0.14020424778749302;0.751715339383024;0.26791941294957844;0.34246339528386033;0.167453523419151;0.06760755708282108;0.2170113399148216;0.045282514482661476;-0.024031227489433312;0.01623520158597375;0.44413109161579667;0.4378848034552558;-0.08021927350073946;-0.403823508175209;-0.014053489818936522;-0.06857013957053346;0.42016387618202516;0.1861320926071345;0.7635260973625103;0.19189324806642097;0.03789422679592776;0.06985636994786372;0.14377962018643;0.29319323729267405;0.31291750634833854;0.38041198774706436;0.3921437487911088;0.4049430421362315
ATSC1dv;0.011639839381905789;0.10125786490855326;0.6664742549457605;0.1513718456997211;-0.006506793467634223;0.2000221629978753;0.35258864994796263;1.0;0.49235194168606056;0.0769108220370336;0.06193977620972857;-0.0532050356881819;-0.18158733394188986;-0.21372434819538386;-0.21709274400813186;0.7354990071872395;0.20230427921260793;0.0054864621018388725;-0.16209207411087181;-0.2890079814184296;-0.26615334131386553;-0.2336470704605942;-0.15847740828485865;-0.05030824585630674;0.29632228253884135;0.06489910428079769;0.10948024814326822;0.10845737781415889;-0.022334239020506942;-0.060385247225592326;-0.06652569027851418;0.19708772880469766;-0.16571665144768788;-0.19996189861785318;0.3212996051110413;0.045227704186693224;0.43400534201272034;0.38855977977526934;0.5371749455617255;0.2902224604351548;0.2786821862621108;0.04892382341479604;0.028590908248327808;0.37044468591845797;0.03858789145225836;-0.03522519107603018;0.4032751343197148;-0.4277963987783238;0.2569026452443063;0.37678475571150855;0.1781385796463531;-0.021267101819954243;0.1528481205199436;0.47710218632233437;0.45741703158858943;0.2719812552691489;0.2472441818931096;0.08758568210257524;0.2783909827385739;0.20533195320636055;-0.03506140545800796;0.38761288201568495;0.26344357813573155;0.32964161666648245;0.1374291377930082;0.1428505267646143;0.3632795539544599;0.3187706506977712;0.34876719032080766;-0.08471692598868559;0.1399494607489999;0.15421954729846377;0.29430781078304785;0.36792684267627557;0.4395946517820513;0.11873368951755664;0.2767287637173803;0.24369325950844722;0.19625496880962526;-0.09728164896833992;0.5721939422147632;0.04493014559320993;0.1120441165209911;0.11232815546525642;0.5311373806291707;0.29474345358558157;0.30054441492558964;0.30992329651980083;0.4745739666771038;-0.016425152972812655;0.034741955232042675;0.06268724037407132;0.243477452974786;0.2775380280564066;0.2936829977858763;0.3480578656299566;0.32183568676245994;0.38264464475256726
ATSC2dv;0.1188339850552029;0.0660826992010385;0.33392990291629837;0.02915983767922996;-0.08053505440295898;0.4373471900143927;0.29843913784578946;0.49235194168606056;1.0;0.5448981037168081;0.29230988758170134;-0.06394663864939011;-0.11912523456383362;-0.2751463752864298;-0.3606148606852709;0.3292393657466175;0.2470767846387774;0.1673733202502847;-0.056047070424962146;-0.2773401834931793;-0.20905128805728537;-0.17826348146446638;-0.1403515217668905;0.2338885384060706;0.2746286658391815;0.1969751669357117;0.1386557588976286;0.05876365667093445;0.0064976052769636925;-0.0945070925742978;-0.13277463052315736;0.5299898828037787;-0.06896174694612833;0.06260140876908075;0.3291673233058598;-0.01574735709073511;0.17066771413175633;0.14338329047988965;0.30307166524271606;0.052528276573714276;0.05998890392411299;0.1237984616432116;-0.02467706558299546;0.11145031921990269;-0.1589065424072576;0.33196676770919625;0.3055586462680763;-0.3020685293328714;0.031014684233652907;0.26842033019355843;0.30227240458524923;-0.019899209415381994;0.005978461426684293;0.12744513611344008;0.1546240488597638;0.18722114356591746;0.0319862454407168;0.0433815846649066;0.1950090448804122;0.3054012371162165;-0.006142384358015742;0.14389259535629856;0.06995516050158167;0.1215135902278519;0.058139627679599425;0.21373359922826052;0.225701652632636;0.25714331142726377;0.16121518120278472;-0.0005523822972944465;0.02293843891021267;0.3613109859948635;0.2571818809110914;0.16247795172448254;0.14191438329175385;0.06525135608179504;0.11292495915344744;-0.00029333772604325537;-0.08006885553991078;-0.08033466236864713;0.2665215190095147;-0.028806873536649357;-0.12732348266143598;-0.13768553647719114;0.18830355349638625;-0.30075316371876526;0.3086735359601689;0.17480657736801716;0.27430008424060975;0.1836817628569336;0.20449767771012983;0.058026762865040105;0.2629801023894509;0.22978111998111603;0.23781818248743666;0.2540793161162268;0.20463784095415766;0.2135199434580628
ATSC3dv;-0.04171497404626709;-0.019225552004064714;-0.01332362522814004;-0.05868954328940883;-0.0010020779971651702;0.2374330656215241;0.1564977986837195;0.0769108220370336;0.5448981037168081;1.0;0.6092431315442272;0.050876492051154236;-0.14636310037250905;-0.24078503087152872;-0.4025655486244214;-0.006353338472910747;0.0663849737314813;0.358620034836083;0.1746261780936217;-0.13853088163582294;-0.16661616534133872;-0.14796031652269373;-0.08279240510917277;0.04329356711689913;0.04150341590394818;0.3024138631048145;0.1990268922738259;0.0933661746782724;0.0203295661002624;-0.06920803519405738;-0.13290363079772585;0.3071794540839932;-0.0022582370150581272;0.23209582212402974;-0.05263026398124237;-0.04205818842893206;-0.10543793148907096;-0.10076646524875026;0.01955455278581684;-0.1306830377493762;-0.10915954901933346;0.15313891819835895;-0.03032809489379818;-0.11334269527682561;-0.18721402397345122;0.1310173881675093;-0.0647856695550203;-0.09667077673106284;-0.08228065267764431;-0.018543577055445203;0.04181483904874247;-0.03188281692898371;0.050127558563853605;-0.2451939411908345;-0.11505214271718281;0.010830298734036086;-0.052229540662537835;-0.06170909754403466;-0.01648715156599768;0.09486312202439148;-0.024729150666317663;-0.016912192770248313;-0.10923796423911673;0.0173492323650947;-0.07352057634339342;0.024423868264206467;0.09379114937164873;-0.10080383989026474;-0.12046804524681783;-0.03338058130279927;-0.014610768525280596;0.2064931680363169;0.013642874442798266;-0.07954774934884958;-0.09365380732201442;0.025723191716803675;-0.047964749765859536;-0.10391896382241299;-0.11515957956290801;-0.1156672793130703;-0.0779469195061187;-0.036080834507910685;-0.20100968497875463;-0.1692696534596503;-0.115318689926673;-0.09240047475246382;0.215173347612441;0.0701751659114634;-0.006852582417486147;0.19638372083113206;0.046194527406010044;-0.035244666113888184;0.025890161629280563;0.06215006916203531;0.03687644816380241;0.05953368819897681;0.04747951219305043;0.012007315879873066
